teacher_id,teacher_firstname,teacher_lastname,city,teacher_description,n_experiences,n_diplomas,highest_diploma_level,course_title,course_description,course_code,course_level,number_of_stars
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur experimente en informatique, passionne par l'enseignement et la transmission des connaissances. Fort d'une solide experience en France et en developpement informatique international, Antoine possede une expertise dans la conception et l'animation de cours, la creation de contenu pedagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les etudiants, et sa capacite a adapter son enseignement aux besoins specifiques de chaque groupe.",3,2,licence,Introduction a l'Intelligence Artificielle,,CS101,,4.8
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur experimente en informatique, passionne par l'enseignement et la transmission des connaissances. Fort d'une solide experience en France et en developpement informatique international, Antoine possede une expertise dans la conception et l'animation de cours, la creation de contenu pedagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les etudiants, et sa capacite a adapter son enseignement aux besoins specifiques de chaque groupe.",3,2,licence,Programmation Orientee Objet,,CS201,,4.5
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur experimente en informatique, passionne par l'enseignement et la transmission des connaissances. Fort d'une solide experience en France et en developpement informatique international, Antoine possede une expertise dans la conception et l'animation de cours, la creation de contenu pedagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les etudiants, et sa capacite a adapter son enseignement aux besoins specifiques de chaque groupe.",3,2,licence,Algorithmique et Structures de Donnees,,CS202,,4.7
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur experimente en informatique, passionne par l'enseignement et la transmission des connaissances. Fort d'une solide experience en France et en developpement informatique international, Antoine possede une expertise dans la conception et l'animation de cours, la creation de contenu pedagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les etudiants, et sa capacite a adapter son enseignement aux besoins specifiques de chaque groupe.",3,2,licence,Developpement Web avec JavaScript,,CS301,,4.9
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur experimente en developpement informatique, passionne par l'enseignement et la transmission des connaissances. Expertise dans l'enseignement de la programmation, du developpement web et des technologies emergentes. Recherche un poste stimulant ou l'expertise et l'enthousiasme peuvent etre utilises pour aider les etudiants a atteindre leurs objectifs.",3,3,certificat,Programmation Orientee Objet,"Cours de base en programmation orientee objet, incluant la programmation en Java et C++. Axe sur les concepts de conception, les classes, les heritages et les interfaces.",,,4.8
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur experimente en developpement informatique, passionne par l'enseignement et la transmission des connaissances. Expertise dans l'enseignement de la programmation, du developpement web et des technologies emergentes. Recherche un poste stimulant ou l'expertise et l'enthousiasme peuvent etre utilises pour aider les etudiants a atteindre leurs objectifs.",3,3,certificat,Developpement Web avec React,"Cours avance sur le developpement web avec React, incluant la creation d'interfaces utilisateur, le rendu, et l'utilisation de librairies.",,,4.5
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur experimente en developpement informatique, passionne par l'enseignement et la transmission des connaissances. Expertise dans l'enseignement de la programmation, du developpement web et des technologies emergentes. Recherche un poste stimulant ou l'expertise et l'enthousiasme peuvent etre utilises pour aider les etudiants a atteindre leurs objectifs.",3,3,certificat,Algorithmes et Structures de Donnees,"Cours sur les algorithmes de base et les structures de donnees, avec des exemples pratiques et des exercices.",,,4.2
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur experimente en developpement informatique, passionne par l'enseignement et la transmission des connaissances. Expertise dans l'enseignement de la programmation, du developpement web et des technologies emergentes. Recherche un poste stimulant ou l'expertise et l'enthousiasme peuvent etre utilises pour aider les etudiants a atteindre leurs objectifs.",3,3,certificat,Developpement en Python,"Cours de Python pour debutants, incluant la manipulation de donnees, les fonctions, et les classes.",,,4.7
09512963cce7,Jean-Luc Dubois,Moreau,Paris,"Formateur passionne et experimente en developpement informatique, avec une solide expertise en pedagogie et en orientation de cours. Offre des cours de niveau debutant a avance, couvrant les bases, les frameworks et les technologies les plus recentes. Recherche un poste stimulant ou partager ses connaissances et aider les etudiants a reussir.",3,2,doctorat,Introduction aux Bases de Code,,,,4.9
09512963cce7,Jean-Luc Dubois,Moreau,Paris,"Formateur passionne et experimente en developpement informatique, avec une solide expertise en pedagogie et en orientation de cours. Offre des cours de niveau debutant a avance, couvrant les bases, les frameworks et les technologies les plus recentes. Recherche un poste stimulant ou partager ses connaissances et aider les etudiants a reussir.",3,2,doctorat,Frameworks Web (React & Angular),,,,4.7
09512963cce7,Jean-Luc Dubois,Moreau,Paris,"Formateur passionne et experimente en developpement informatique, avec une solide expertise en pedagogie et en orientation de cours. Offre des cours de niveau debutant a avance, couvrant les bases, les frameworks et les technologies les plus recentes. Recherche un poste stimulant ou partager ses connaissances et aider les etudiants a reussir.",3,2,doctorat,Algorithmes et Structures de Donnees,,,,4.6
