teacher_id,teacher_firstname,teacher_lastname,city,teacher_description,n_experiences,n_diplomas,highest_diploma_level,course_title,course_description,course_code,course_level,number_of_stars
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience en France et en développement informatique international, Antoine possède une expertise dans la conception et l'animation de cours, la création de contenu pédagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les étudiants, et sa capacité à adapter son enseignement aux besoins spécifiques de chaque groupe.",3,2,licence,Introduction à l'Intelligence Artificielle,,CS101,,4.8
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience en France et en développement informatique international, Antoine possède une expertise dans la conception et l'animation de cours, la création de contenu pédagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les étudiants, et sa capacité à adapter son enseignement aux besoins spécifiques de chaque groupe.",3,2,licence,Programmation Orientée Objet,,CS201,,4.5
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience en France et en développement informatique international, Antoine possède une expertise dans la conception et l'animation de cours, la création de contenu pédagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les étudiants, et sa capacité à adapter son enseignement aux besoins spécifiques de chaque groupe.",3,2,licence,Algorithmique et Structures de Données,,CS202,,4.7
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience en France et en développement informatique international, Antoine possède une expertise dans la conception et l'animation de cours, la création de contenu pédagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les étudiants, et sa capacité à adapter son enseignement aux besoins spécifiques de chaque groupe.",3,2,licence,Développement Web avec JavaScript,,CS301,,4.9
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Expertise dans l'enseignement de la programmation, du développement web et des technologies émergentes.  Recherche un poste stimulant où l'expertise et l'enthousiasme peuvent être utilisés pour aider les étudiants à atteindre leurs objectifs.",3,3,certificat,Programmation Orientée Objet,"Cours de base en programmation orientée objet, incluant la programmation en Java et C++.  Axé sur les concepts de conception, les classes, les héritages et les interfaces.",,,4.8
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Expertise dans l'enseignement de la programmation, du développement web et des technologies émergentes.  Recherche un poste stimulant où l'expertise et l'enthousiasme peuvent être utilisés pour aider les étudiants à atteindre leurs objectifs.",3,3,certificat,Développement Web avec React,"Cours avancé sur le développement web avec React, incluant la création d'interfaces utilisateur, le rendu, et l'utilisation de librairies.",,,4.5
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Expertise dans l'enseignement de la programmation, du développement web et des technologies émergentes.  Recherche un poste stimulant où l'expertise et l'enthousiasme peuvent être utilisés pour aider les étudiants à atteindre leurs objectifs.",3,3,certificat,Algorithmes et Structures de Données,"Cours sur les algorithmes de base et les structures de données, avec des exemples pratiques et des exercices.",,,4.2
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Expertise dans l'enseignement de la programmation, du développement web et des technologies émergentes.  Recherche un poste stimulant où l'expertise et l'enthousiasme peuvent être utilisés pour aider les étudiants à atteindre leurs objectifs.",3,3,certificat,Développement en Python,"Cours de Python pour débutants, incluant la manipulation de données, les fonctions, et les classes.",,,4.7
09512963cce7,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise en pédagogie et en orientation de cours.  Offre des cours de niveau débutant à avancé, couvrant les bases, les frameworks et les technologies les plus récentes.  Recherche un poste stimulant où partager ses connaissances et aider les étudiants à réussir.",3,2,doctorat,Introduction aux Bases de Code,,,,4.9
09512963cce7,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise en pédagogie et en orientation de cours.  Offre des cours de niveau débutant à avancé, couvrant les bases, les frameworks et les technologies les plus récentes.  Recherche un poste stimulant où partager ses connaissances et aider les étudiants à réussir.",3,2,doctorat,Frameworks Web (React & Angular),,,,4.7
