teacher_id,teacher_firstname,teacher_lastname,city,teacher_description,diploma_titles,diploma_levels,n_diplomas,highest_diploma_level,n_experiences
ec2c8a17523a,Antoine Dubois,Moreau,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience en France et en développement informatique international, Antoine possède une expertise dans la conception et l'animation de cours, la création de contenu pédagogique, et la gestion de l'apprentissage. Il est reconnu pour son approche pratique, son engagement envers les étudiants, et sa capacité à adapter son enseignement aux besoins spécifiques de chaque groupe.",Master en Intelligence Artificielle | Licence en Informatique,master | licence,2,licence,3
5b2488de648b,Jean-Luc Dubois,Bernard,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Offre des cours de formation pour tous les niveaux, de débutants aux experts.  Se spécialise dans la programmation orientée objet et les technologies web.  A une solide expérience en gestion de projets et en mentorat.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
09512963cce7,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise en pédagogie et en orientation de cours.  Offre des cours de niveau débutant à avancé, couvrant les bases, les frameworks et les technologies les plus récentes.  Recherche un poste stimulant où partager ses connaissances et aider les étudiants à réussir.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,3
34b53468c929,Jean-Luc Dubois,Moreau,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances.  Fort d'une solide expérience pédagogique, avec une spécialisation en développement logiciel.  A dirigé des cours à différents niveaux, de débutants aux experts, en France et en internationaux.  Mettez à disposition d'une approche pratique et engageante, favorisant l'apprentissage par la pratique et le travail en groupe.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,4
2cbc258a0de2,Jean-Pierre Dubois,Leroy,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances.  Expert en développement logiciel, spécialisé dans les frameworks JavaScript et Python.  Recherche des opportunités pour partager son expertise et aider les étudiants à maîtriser les concepts clés.",Master en Informatique | Licence en Informatique | Certificat de Formation en Développement Python,maitrise | licence | certificat,3,certificat,3
1e2eb8cee90c,Jean-Luc Dubois,Martin,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et le partage des connaissances.  Expertise dans l'apprentissage de la programmation, la résolution de problèmes et l'orientation pédagogique.  Cherche à contribuer à l'excellence de l'enseignement et à former les futurs développeurs.",Master en Informatique | Doctorat en Intelligence Artificielle,maitre | dr. ing.,2,dr. ing.,3
00be9676f0bb,Jean-Luc Dubois,Moreau,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et le partage des connaissances. Fort d'une solide expérience en France et en développement international, je propose des cours de qualité, adaptés aux besoins des étudiants.  Je suis convaincu de l'importance de la pédagogie active et de l'application pratique.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,3
54d44a10d2cc,Jean-Luc Dubois,Petit,Paris,"Formateur passionné et expérimenté en informatique, avec une solide expertise en développement logiciel et en formation.  A dirigé des cours et dispensé des ateliers pour une large audience, en mettant l'accent sur l'enseignement pratique et l'engagement des étudiants.  Fort d'une expérience internationale, avec une formation en France et un désir constant d'améliorer ses compétences en matière de pédagogie.",Master en Intelligence Artificielle | Licence en Informatique,master | licence,2,licence,3
0559d7ab8f8f,Jean-Pierre Dubois,Laurent Moreau,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Fort d'une solide expérience en France et en développement international, je propose des cours de haute qualité, axés sur l'apprentissage pratique et la résolution de problèmes concrets.  Mon objectif est de former des étudiants et professionnels capables de maîtriser les technologies actuelles et de s'adapter aux évolutions du secteur.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
b8e16815fda4,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur passionné et expérimenté en développement informatique, spécialisé dans l'apprentissage et la formation.  A dirigé plusieurs projets de formation et possède une solide expertise en pédagogie et en conception de contenu.  Passionné par l'innovation et l'amélioration continue des méthodes d'enseignement.",Master en Intelligence Artificielle | Doctorat en Ingénierie Logicielle | Certificat en Formation Continue,maitre | dr. | certifie,3,certifie,3
e9110fc0b3b6,Jean-Pierre Dubois,Martin,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Fort d'une solide expérience en France et en développement en tant que professeur, je propose des cours de niveau intermédiaire et avancé, axés sur les technologies les plus récentes et les meilleures pratiques. Je suis un pédagogue motivé, capable de créer un environnement d'apprentissage stimulant et personnalisé.",Master en Informatique | Doctorat en Intelligence Artificielle,maitrise | doctorat,2,maitrise,3
d8040ca0b1ee,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et le partage des connaissances.  Fort d'une solide expérience en France et en développement international, je propose des cours de niveau débutant à avancé, axés sur les technologies les plus récentes et les plus pertinentes pour les professionnels.  Je m'engage à fournir un apprentissage engageant et pratique, favorisant la résolution de problèmes et la créativité.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,3
ee216d350b2c,Jean-Pierre Dubois,Leroux,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience en France et en développement en tant qu'intervenant, il se spécialise dans les bases de données, l'intelligence artificielle et la sécurité informatique.  Il recherche un poste stimulant où il pourra partager son expertise et contribuer au développement de futurs professionnels.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,3
25be5479b6fc,Antoine Dubois,Lambert,Paris,"Formateur passionné en informatique, avec une solide expérience en enseignement et en développement de formations.  Expert en pédagogie,  en utilisant des méthodes interactives et adaptées aux différents niveaux d'apprentissage.  Recherche à contribuer à l'évolution de l'enseignement informatique en France.",Master en Sciences de l'Informatique | Doctorat en Intelligence Artificielle | Certificat de Formation en Pédagogie Informatique,master | doctorat | certificat,3,certificat,3
679d84950d35,Jean-Luc Dubois,Martin,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Expertise dans la conception et l'animation de cours théoriques et pratiques, axés sur les technologies les plus récentes et les meilleures pratiques.",Master en Informatique | Certificat de Formation en Développement Logiciel,master | certificat,2,certificat,3
991ba6e41017,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience en France et en développement informatique, je propose des cours stimulants et adaptés aux besoins des étudiants.  Je suis un expert dans l'intégration de nouvelles technologies et la résolution de problèmes complexes.",Master en Informatique | Licence en Informatique | Certificat de Formation en Développement Logiciel (France),maitre | licence | certificat,3,certificat,3
19772684f86b,Jean-Luc Dubois,Martin,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances.  Expertise dans le développement logiciel, la programmation orientée objet et les technologies cloud.  Recherche un poste stimulant où puisse partager son expertise et contribuer au développement des compétences des étudiants.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,3
86ea1b0d7d3c,Antoine Dubois,Lefevre,Paris,"Formateur et professeur expérimenté en développement informatique, avec une solide expérience en France et en développement international. Passionné par l'enseignement, l'innovation et la création de communautés de développeurs.  Fournit des cours théoriques et pratiques, axés sur les dernières technologies et les meilleures pratiques.",Master of Science in Computer Science | Doctorate in Software Engineering | Certificate in Advanced Java Development,master | phd | certificate,3,certificate,4
d85e15f9024d,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise en conception de cours et en pédagogie.  Recherche une opportunité de partager son savoir et d'inspirer les étudiants à travers des cours stimulants et adaptés aux besoins du marché du travail.",Master en Intelligence Artificielle | Licence en Informatique,master | licence,2,licence,3
c05381598ed1,Jean-Pierre Dubois,Lambert,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Expert en pédagogie, avec une forte orientation vers l'apprentissage actif et l'accompagnement des étudiants.  Spécialiste en développement logiciel, avec une solide expérience dans la conception et l'animation de cours de formation.  Recherche active de nouvelles méthodes et outils pédagogiques.",Master en Informatique | Licence en Informatique | Certificat de Formation en Pédagogie,maitre | licence | certificat,3,certificat,2
dba9b8f76cda,Jean-Luc Dubois,Moreau,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Expert en conception pédagogique, spécialisé dans la vulgarisation des concepts techniques.  Vise à créer des expériences d'apprentissage engageantes et efficaces.",Master en Intelligence Artificielle | Licence en Informatique,master | licence,2,licence,3
3d77e024a313,Jean-Pierre Dubois,Lefevre,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission de connaissances.  Expertise en développement logiciel, avec une forte orientation sur l'apprentissage pratique et l'application des concepts théoriques.  A dirigé des cours et des formations pour une large gamme de niveaux, de débutants aux professionnels chevronnés.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,3
9218b3f1d7a2,Jean-Pierre Dubois,Lefevre,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expérience dans l'enseignement et la formation.  Spécialiste en pédagogie numérique, avec un focus sur l'apprentissage interactif et l'adaptation aux besoins des étudiants.  A une solide connaissance des dernières technologies et des meilleures pratiques.",Master en Informatique | Certificat en Pédagogie Numérique,maitre | master,2,maitre,3
c56963328fc2,Jean-Luc Dubois,Martin,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et le partage des connaissances. Fort d'une solide expérience en France et en développement informatique, je propose des cours théoriques et pratiques pour tous les niveaux.  Je m'engage à un apprentissage personnalisé et à l'accompagnement des étudiants vers la réussite.",Master en Intelligence Artificielle | Licence en Informatique | Certificat de Formation en Développement Logiciel,master | licence | certificat,3,certificat,3
6e94efade64b,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné en développement informatique, avec une solide expérience en France et en développement international.  Expert en pédagogie et en adaptation des cours aux besoins des étudiants.  Vise à fournir un apprentissage pratique et pertinent, axé sur les compétences du monde réel.",Master en Informatique Spécialisée | Licence en Informatique,master | licence,2,licence,2
437d76c0d0e1,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expérience dans l'enseignement et la mentorat.  Spécialiste de l'apprentissage et du perfectionnement dans le domaine des langages de programmation, de l'architecture logicielle et des technologies web.  A une forte orientation vers l'accompagnement des étudiants et la transmission de compétences pratiques.",Master en Informatique | Certificat de Formation en Développement Logiciel,maitre | diplome,2,diplome,3
